C_Parameter,Degree_Parameter,Gamma_Parameter,Mean_F1_Score(Train),Std_F1_Score(Train),Mean_F1_Score(Test),Std_F1_Score(Test),Rank
0.25,3,0.2,0.7658708185505929,0.004764041099880764,0.6071600325637999,0.03971305757108063,1
0.25,3,0.21,0.7724866355901232,0.003826487795753151,0.6067318727496555,0.03847254180777379,2
0.12,3,0.2,0.7291715808902729,0.006192791012586139,0.6033216739243712,0.03212216955847162,3
0.25,3,0.19,0.7594161318313204,0.005031783106054976,0.6019221579533695,0.03353308514546517,4
0.25,3,0.16,0.7316226828756651,0.006234096482882843,0.6011531424044498,0.028836027596670213,5
0.11,3,0.21,0.7313644719184985,0.006568897418826662,0.6011531424044498,0.028836027596670213,5
0.25,5,0.19,0.8626542330201519,0.0028927256505882075,0.5998092806493659,0.039810254227207756,7
0.12,3,0.21,0.7353635271499208,0.006167865803994504,0.5993718341075548,0.02722149020563628,8
0.25,3,0.17,0.7400900627665415,0.008697944925743287,0.5985340436844562,0.029646683139890863,9
0.25,5,0.2,0.8707996897235745,0.004566930618134229,0.5982814313867996,0.03377059288236761,10
0.1,3,0.21,0.7279869024488208,0.0066395686574559345,0.598162353380183,0.031354580195018425,11
0.25,3,0.18,0.7500169295943709,0.005997872590470956,0.5973177030051942,0.03213633174011022,12
0.11,3,0.19,0.719581327436743,0.0077524723967533175,0.5970819343858964,0.03411473623850804,13
0.09,3,0.21,0.7244612471240941,0.008499224481474376,0.5968165874790379,0.029814485982756045,14
0.12,3,0.19,0.7244718472539331,0.008556815774151424,0.5968165874790379,0.029814485982756045,14
0.25,3,0.15,0.7248525113111055,0.008483841431070612,0.5968165874790379,0.029814485982756045,14
0.1,3,0.2,0.7225411704233491,0.00815878714238709,0.5962219999416617,0.03216819400710006,17
0.12,5,0.21,0.8536192347760387,0.0046534587781453494,0.596195450683288,0.044261385691316345,18
0.25,5,0.18,0.8513734573762758,0.004920980090083941,0.5961561312184125,0.04388281960288617,19
0.11,5,0.21,0.8486244572384305,0.004435293604696628,0.5957593058215871,0.04346427411331056,20
0.25,5,0.21,0.8768621757338761,0.004269036057218236,0.5955253750887188,0.029823841545857332,21
0.11,3,0.2,0.7253430246352108,0.008164991586138481,0.5942069100572148,0.03066706457892635,22
0.08,3,0.21,0.718759453695663,0.00833660619091874,0.5938038515295674,0.0302666405614919,23
0.1,5,0.21,0.8442336916827562,0.005236871124177513,0.5924440515954194,0.04209304017299047,24
0.1,5,0.2,0.8301703109832832,0.0055333479235036365,0.591427847551693,0.04109676258417547,25
0.11,5,0.19,0.824538169915159,0.004086037185174178,0.5912609506383145,0.03639810514998938,26
0.09,5,0.21,0.8378355466839039,0.004897487472448554,0.5912590436468174,0.04336336181854498,27
0.1,5,0.15,0.7729298200024792,0.008658729957140407,0.5908555411255716,0.04389487526280222,28
0.11,5,0.2,0.8358143887433904,0.004425611899054975,0.5902995723333557,0.04308226758307101,29
0.25,5,0.17,0.8359519771451247,0.0045708326927197136,0.5902995723333557,0.04308226758307101,29
0.12,5,0.19,0.8274953422420269,0.004640572356561113,0.5902452471484324,0.03544756899326454,31
0.08,5,0.21,0.8313694305185699,0.0046967968747970885,0.5901609862063601,0.04358973711459262,32
0.09,5,0.2,0.8262704147182621,0.003899065428969058,0.5898668111318849,0.03715236921903723,33
0.09,3,0.2,0.7176828725197685,0.008768776466510472,0.589845667804934,0.03249130470348456,34
0.12,5,0.2,0.8395779057372339,0.005379357050723099,0.5889388613955523,0.042214451341186655,35
0.25,5,0.16,0.823295969071139,0.004564166225596812,0.5885220046583161,0.03552819056182592,36
0.08,5,0.2,0.822621127328515,0.00533991069418937,0.5885220046583161,0.03552819056182592,36
0.09,5,0.18,0.8068942633979619,0.008085023343082913,0.5884785843770294,0.03648520912800715,38
0.12,5,0.17,0.8068942633979619,0.008085023343082913,0.5884785843770294,0.03648520912800715,38
0.08,5,0.19,0.8137239044647234,0.006048655029788501,0.588276910278496,0.03929958270944548,40
0.12,3,0.18,0.7165764658833604,0.008989502839644194,0.5876193656171891,0.03384265123872973,41
0.09,5,0.15,0.7688296543997069,0.009613613821961006,0.5875645954082962,0.04281448330957882,42
0.1,5,0.19,0.8216664980536923,0.005472436971233915,0.5873548470158104,0.034357702914521594,43
0.11,5,0.18,0.8158702421956452,0.005040364733339346,0.587222743447722,0.03762585045323552,44
0.1,5,0.17,0.7994571376232511,0.008250592972845104,0.587087423304401,0.037660092754842105,45
0.1,5,0.18,0.8105499401349053,0.006336855099859392,0.5869493749060906,0.03873262708432449,46
0.25,5,0.15,0.8112175912569567,0.005864498516753744,0.5869493749060906,0.03873262708432449,46
0.11,5,0.17,0.8035570522797171,0.008599905294912235,0.5866539247644078,0.03543505820647761,48
0.08,5,0.18,0.8025882195225978,0.008911457185229073,0.5866539247644078,0.03543505820647761,48
0.1,3,0.19,0.7153430099884492,0.00867307448277636,0.586097385415288,0.028760990645067614,50
0.1,5,0.16,0.7847173374551486,0.010454033849434125,0.5854623777067133,0.03664227262690547,51
0.12,5,0.18,0.8187095822308365,0.00554282125423502,0.5850846990178536,0.036734629565812534,52
0.09,5,0.19,0.818041385603142,0.005167900854110483,0.585006599268543,0.0367329860675868,53
0.12,3,0.17,0.7098090281144553,0.009722543074180107,0.5850064926124605,0.02498746085402376,54
0.09,5,0.16,0.7811448267577329,0.011788660763021812,0.5848497084974541,0.038303017016058066,55
0.08,3,0.19,0.7070398354426877,0.00970680372038011,0.5847899063121693,0.026284805437696433,56
0.09,5,0.17,0.7947315593619667,0.009903059551505458,0.5847896137891464,0.03604723100235545,57
0.12,5,0.16,0.7930912089900269,0.010549707384952312,0.5847793404518093,0.033410507989142496,58
0.08,5,0.15,0.7621263488260126,0.00931904188014844,0.5843780685976943,0.04210570219764163,59
0.12,5,0.15,0.7798835398507445,0.011090311187314624,0.5841033885232393,0.03754171406120861,60
0.09,3,0.19,0.711351558543869,0.010362237646542337,0.583834696492117,0.02531444581998959,61
0.11,3,0.17,0.7063514261774605,0.010114091669076262,0.5837039503070109,0.024002226996587994,62
0.08,5,0.16,0.7764429241341606,0.010286382736920285,0.5836856289006352,0.04207832071295657,63
0.11,5,0.15,0.7765770732534077,0.010351108442525464,0.5836856289006352,0.04207832071295657,63
0.09,3,0.18,0.7062627814832529,0.008811276513850372,0.5835359138201865,0.02243046395183937,65
0.08,3,0.2,0.7131778407431376,0.010077112611260569,0.5834888933475222,0.02487328155292898,66
0.11,3,0.18,0.7133069630672161,0.010051103983176388,0.5834888933475222,0.02487328155292898,66
0.1,3,0.18,0.7094763728417117,0.009770380967343877,0.5826461580427914,0.024721805910370338,68
0.11,5,0.16,0.7897423513794182,0.01027913791693019,0.5826446811637302,0.032055983651919154,69
0.08,5,0.17,0.7889108840060313,0.010828308552869478,0.5826446811637302,0.032055983651919154,69
0.1,3,0.17,0.704305751863388,0.00901104441210929,0.5804390405347927,0.02286689311366434,71
0.12,3,0.16,0.7045694135489526,0.008969600840553435,0.5804390405347927,0.02286689311366434,71
0.11,3,0.15,0.6884962984197711,0.008633781883199935,0.5792348616489905,0.0325843966114754,73
0.09,3,0.16,0.6878345283148717,0.00894649038273311,0.5792348616489905,0.0325843966114754,73
0.08,3,0.17,0.6914107430069074,0.009496002264811787,0.578976541571463,0.026687990195398185,75
0.12,3,0.15,0.6938650222698347,0.009329197751042805,0.5778392650990433,0.026805035151694377,76
0.1,3,0.16,0.693818802633111,0.009573466837608078,0.5771749459989413,0.03096315098373295,77
0.11,3,0.16,0.6996640214531954,0.011535849055660383,0.5739187203358806,0.02418914361051654,78
0.09,3,0.17,0.6981446174101589,0.011047455296516812,0.5738030136311328,0.027204262619143656,79
0.1,3,0.15,0.6816233358246084,0.00917487053005807,0.5730258966252262,0.0343233906744339,80
0.08,3,0.18,0.7010975074342057,0.011999100602748438,0.5728862882427459,0.023555348614836977,81
0.08,3,0.16,0.6789954032357682,0.008500728380492052,0.5699210430652204,0.029793085708177923,82
0.08,3,0.15,0.6690569953235647,0.008067831074605118,0.5687859704776328,0.033088951842731355,83
0.09,3,0.15,0.6757223244319579,0.009525266659189633,0.5647100006242247,0.030190696226420285,84
