C_Parameter,Degree_Parameter,Gamma_Parameter,Mean_F1_Score(Train),Std_F1_Score(Train),Mean_F1_Score(Test),Std_F1_Score(Test),Rank
0.5,5,0.15,0.8393958197150371,0.0038958713815705225,0.6100333250066007,0.07085493576656508,1
0.1,5,0.25,0.8738479843206248,0.0032164035501825406,0.60608760095451,0.042344419366926324,2
1.0,5,0.15,0.8670674623521812,0.0033097192722788215,0.605619826177636,0.04092538918076092,3
0.1,5,0.2,0.8292348700188572,0.004281736506453698,0.6033714277638684,0.0756367018326565,4
0.1,3,0.25,0.7509439204223172,0.004286318619459285,0.6030051188894918,0.048938083165474364,5
0.5,3,0.15,0.7544307418247063,0.0050585803985909224,0.6019694069813244,0.051482284600369244,6
0.5,5,0.3,0.959644047905926,0.002319655624751241,0.6011641602587887,0.08194617401206786,7
1.0,3,0.15,0.7843383674360442,0.004244135236903329,0.5998190439734434,0.055531158858649524,8
0.5,3,0.2,0.7910929576487877,0.004655006942059011,0.5991131188997418,0.05695483790968265,9
1.0,3,0.25,0.8479485342070697,0.004301036442267324,0.5961465801874396,0.04692274612614796,10
0.5,5,0.2,0.884774702592358,0.0034538909191230574,0.5955927279265721,0.054434595445163256,11
0.1,3,0.3,0.7761788821716193,0.003678389611196631,0.5955857504697855,0.05225013410879613,12
0.5,3,0.25,0.8167425709757449,0.0038263620367876045,0.5944528931682572,0.04856444771342071,13
1.0,5,0.25,0.9547660441785221,0.0023616358328622886,0.5920661732245861,0.06910883400473979,14
0.1,3,0.2,0.7227643838261388,0.005965351304434035,0.5911072538258854,0.05492109650505279,15
0.5,3,0.3,0.840809792175462,0.004516003890640263,0.5895945871635148,0.04821797559262552,16
1.0,3,0.2,0.817300069483546,0.004059695205210233,0.5886560842358851,0.052879017547621796,17
1.0,5,0.3,0.9728350563521246,0.002363842835371628,0.5883447830324464,0.07251853532096787,18
1.0,3,0.3,0.8652149342496255,0.004306160073136676,0.5873235791978996,0.05682298410411855,19
0.1,5,0.15,0.7688457766721353,0.0063664752318018806,0.586579908910059,0.07369574417691842,20
0.1,5,0.3,0.9035928854456585,0.0027932210331123755,0.5843483914755148,0.05515525577421922,21
1.0,5,0.2,0.9181589828165242,0.002613929693345864,0.5833867196208512,0.059965551382976746,22
0.5,5,0.25,0.9353844662281283,0.0037103992277093194,0.57908236960043,0.056787408429178836,23
0.1,3,0.15,0.6820291708420383,0.005703460544099095,0.5759281683663275,0.07104773558887299,24
