C_Parameter,Gamma_Parameter,Mean_F1_Score(Train),Std_F1_Score(Train),Mean_F1_Score(Test),Std_F1_Score(Test),Rank
2.0,0.35,0.9373294528724404,0.0035859538524453324,0.6420474103961878,0.06700665947780778,1
2.0,0.325,0.9301244051425974,0.004171322506301758,0.6418747947931963,0.06930100597926504,2
2.3,0.3,0.9297304538499992,0.003521964027937288,0.6409785412709542,0.07100183600739142,3
2.1,0.325,0.9330016096944097,0.003925199228385385,0.640674143737966,0.06869784214296813,4
2.9,0.325,0.9508088255828739,0.0026916730946807714,0.6406060749157436,0.06748588313641693,5
2.5,0.3,0.9346990601963735,0.003707656031008025,0.6405075647189515,0.07125843722634304,6
2.4,0.3,0.9322895930702687,0.0035903192506129404,0.6402998220725995,0.07144248247176825,7
2.7,0.275,0.928957490253176,0.0038534815136272373,0.6396754608724712,0.07947156024583926,8
2.6,0.35,0.9522630692873514,0.002744597914987037,0.6394225913724202,0.06381775119076281,9
3.0,0.25,0.9233413696244908,0.0042699580294018194,0.6393948529172444,0.08146987723747282,10
2.1,0.35,0.9404097588676741,0.0031870523509103326,0.6392850432584212,0.0706698596959202,11
2.6,0.275,0.9264082098258447,0.004138482974170442,0.6391392946417325,0.07890466986845418,12
2.2,0.325,0.9352675373236717,0.003694311942875523,0.6388069622408371,0.06958800325371355,13
2.2,0.3,0.9260188037757353,0.004091501832247919,0.6383786021350939,0.07455630611838386,14
2.5,0.275,0.9222718095892514,0.004799343279128434,0.6382372529451674,0.08297131311234057,15
2.6,0.3,0.9376201892270796,0.003707565397709715,0.6382334289124227,0.07200164430603162,16
2.0,0.3,0.9149556393101659,0.003963917454718095,0.6381049363981084,0.07153149658887073,17
2.1,0.3,0.9202020600732665,0.004143891324338411,0.6375967045399933,0.07194202902081828,18
3.0,0.35,0.9583612029425244,0.0024328433324262867,0.6374833012290689,0.06844283184528625,19
2.4,0.35,0.9496600333231937,0.0025851558946699544,0.6373540385312813,0.06671085059905649,20
3.0,0.325,0.9520614742059976,0.0025306948914312114,0.6370602232248571,0.06647860308428669,21
2.3,0.275,0.9139614765895432,0.0043185566035861545,0.6370072897432268,0.07449536885769117,22
2.5,0.35,0.9509079220759479,0.0025753205548058773,0.6369696768026634,0.06610865897571006,23
2.3,0.325,0.9383373512621681,0.003529513104995756,0.6366474628047747,0.06561410469319785,24
2.7,0.35,0.9530113254918012,0.002529638574796863,0.6366266739433809,0.06403256992720546,25
2.8,0.275,0.931334075167669,0.003771746674413623,0.6363314918481994,0.0830179173821948,26
2.4,0.275,0.9181537112826531,0.004694930186029819,0.6360733516281528,0.07716041258938659,27
2.9,0.25,0.9195302181446862,0.004999805763820616,0.6358272758286823,0.08035689194169235,28
2.1,0.4,0.9529386752361643,0.0026822117105350686,0.6357889629320566,0.06856483911602052,29
2.1,0.275,0.9058260873758425,0.0036041317799823877,0.6357883654948385,0.0780924006610613,30
2.2,0.35,0.9449735798530777,0.003004409735641321,0.6357689670498108,0.06845887845023697,31
2.8,0.325,0.9496606236562976,0.0028446363686022726,0.6357500393280237,0.06665356680321907,32
2.7,0.3,0.9404142957744814,0.0037024152695981287,0.6357070822052325,0.06983865378341086,33
2.2,0.275,0.9086492294335947,0.004326047195092804,0.6354352669947335,0.07519411256181714,34
2.8,0.35,0.954319589733357,0.002339496718990215,0.6353970301548155,0.06733896474113821,35
2.9,0.35,0.9560880391776051,0.002158782107896577,0.6353211087468258,0.07010325828303911,36
2.3,0.4,0.9560043311653855,0.002179836903613382,0.635212866069454,0.0730821404337251,37
2.3,0.35,0.9474197633104737,0.0024694746008443766,0.6350224528907585,0.06685851573907584,38
2.2,0.4,0.9543539859145548,0.002380087839619305,0.6347674604694583,0.06887216615185783,39
2.7,0.325,0.9482626623494207,0.00276114314434957,0.6333095238018573,0.06388051046537799,40
2.8,0.3,0.9425032712708692,0.0038650953236503724,0.6332882988923949,0.06931904236735253,41
2.4,0.325,0.9429413335359914,0.0034518231460195065,0.6332126452484977,0.06587404941852495,42
2.4,0.4,0.9586443176128974,0.0021243027360991406,0.6331327186147073,0.07229014162865252,43
2.9,0.275,0.9335748922856455,0.0032998758877629147,0.6329818220955736,0.07602150510584328,44
2.5,0.325,0.9448352581363806,0.0029922419543944056,0.6327857631241652,0.06629551740244137,45
2.6,0.25,0.9097803820033492,0.004304240220100706,0.6327696733411642,0.08232144244708287,46
3.0,0.3,0.9464758563087866,0.0026319580387177233,0.63271623852635,0.0644355727116174,47
2.0,0.275,0.9014703663200693,0.002909270532603695,0.6324537039631742,0.077030731676151,48
2.0,0.4,0.9516965821408128,0.002523873456825591,0.632343040194627,0.07066218152865059,49
3.0,0.275,0.936189143163507,0.0032496549491508324,0.6320426198825289,0.07400012941340622,50
2.6,0.325,0.9464777174147551,0.002558372072037346,0.6319048183447276,0.06703029365024028,51
2.1,0.25,0.8951492222824662,0.0028942302617276172,0.6318224414906569,0.08171125369830981,52
2.5,0.25,0.9064811532615465,0.0037807067798455336,0.6317486940880118,0.0836362999813767,53
2.3,0.25,0.9000765236234713,0.0023648319641781652,0.6312882778510406,0.08188261112031678,54
2.7,0.4,0.9659376211051774,0.0020682695465724147,0.6311039292530942,0.07043703070730913,55
2.7,0.25,0.9128708415438278,0.004568582577871059,0.6307835716648446,0.08153451751873662,56
2.8,0.25,0.9160251874011827,0.004949272929455616,0.6305594381746377,0.08067213352831841,57
2.9,0.4,0.968784381161216,0.002401198946350679,0.6301363726833653,0.06610129192351363,58
2.6,0.4,0.9636371492020978,0.0018636320064119771,0.6300902225277732,0.06997998566993364,59
2.5,0.4,0.9606886105557954,0.0020069066570628075,0.6300902225277732,0.06997998566993364,59
2.2,0.25,0.8975596573067409,0.003411669382776198,0.6298147634844969,0.08346881162023277,61
2.4,0.25,0.9030948966758058,0.002425158541794913,0.6294769941202187,0.08585220898725954,62
2.9,0.3,0.9442961854657251,0.003097558284128193,0.6293071119658766,0.0687885694361779,63
2.8,0.4,0.9672395931194353,0.002332674266832036,0.6286620548138371,0.06767510718762036,64
2.0,0.25,0.8918557663297649,0.00309224235201921,0.6279785576778285,0.07587694860313966,65
3.0,0.4,0.9709891428758253,0.0022000029349393785,0.6277714789188772,0.06661340783981477,66
3.0,0.2,0.8924085069997184,0.0033280242018770894,0.6239384996167894,0.08116248547653744,67
2.6,0.2,0.8837896753361438,0.0039823952760449696,0.6217442007818026,0.07573545610467522,68
2.8,0.2,0.8880440024609332,0.003330054535354034,0.6214068833189601,0.08495224661087085,69
2.9,0.2,0.8902694109270368,0.0039022058304690804,0.620687194614251,0.08413862602082582,70
2.7,0.2,0.8859600239097657,0.004016539055343429,0.619437630186048,0.07839439069327757,71
2.5,0.2,0.8809997944069866,0.004591186114195487,0.6185399953942599,0.07825985603742786,72
2.1,0.2,0.8622256502827058,0.004435340196130957,0.6182315124203093,0.07814539011885657,73
2.3,0.2,0.8721133248603485,0.005075369858575506,0.617289375898732,0.07878065474140658,74
2.4,0.2,0.8778323910168865,0.004779100356422591,0.6171536706384395,0.07837112288905149,75
