C_Parameter,Gamma_Parameter,Mean_F1_Score(Train),Std_F1_Score(Train),Mean_F1_Score(Test),Std_F1_Score(Test),Rank
2.9,0.35,0.9067420397355279,0.005888015528062325,0.5936189104425142,0.049734010196833024,1
2.9,0.3,0.8871373624495533,0.005772558911799517,0.5926987117491491,0.050418546746868416,2
2.95,0.3,0.8884561871158139,0.004967490404356926,0.5926987117491491,0.050418546746868416,2
3.0,0.3,0.8896706370704768,0.0053190481993308225,0.5926987117491491,0.050418546746868416,2
2.85,0.35,0.9057663748432792,0.0054780475920152595,0.5924485145733231,0.04835170070743096,5
2.9,0.325,0.8973710059305555,0.005249178612434145,0.5915199937792497,0.046994157405112764,6
2.85,0.325,0.8967129926752724,0.004975646698643725,0.5915199937792497,0.046994157405112764,6
2.85,0.3,0.8859525161910972,0.005476722660272139,0.5915114643482392,0.0499381545522419,8
2.75,0.325,0.8951036537079785,0.005108999851720268,0.5914723517953278,0.04579869413062126,9
2.95,0.325,0.8979009236860417,0.005198647980346636,0.5914327126444477,0.04694001593287344,10
3.0,0.325,0.8997794948765969,0.006044213960865397,0.5914327126444477,0.04694001593287344,10
2.75,0.27,0.8701324737701454,0.0035358370720531235,0.5909463387406249,0.04585554212375673,12
2.8,0.27,0.8719940203337815,0.0036191027876471826,0.5909463387406249,0.04585554212375673,12
2.75,0.28,0.8758574512892006,0.004048000821933945,0.5909358471234158,0.04974369392862799,14
2.85,0.26,0.8657943858422291,0.0053298752814246245,0.5908667349912757,0.04589045549967069,15
2.95,0.28,0.8803873299150716,0.005703929056949225,0.5908607774400378,0.047933187028516115,16
2.85,0.27,0.8733503650203648,0.0037626091770940778,0.5908159440170463,0.046736766688231714,17
2.8,0.325,0.8957541886801945,0.0048000830142555006,0.5903238902606047,0.04577838609983699,18
2.95,0.35,0.9083221615744568,0.005754094767391529,0.5901622317168698,0.05053590357207364,19
2.95,0.29,0.8841030671205041,0.005553019588549563,0.590134337170867,0.048983994701651885,20
2.9,0.28,0.8793366701992411,0.005449449604683489,0.5897672107124272,0.0472154274589166,21
2.8,0.28,0.8766937852786937,0.004534651643533276,0.5897421511310365,0.050219404300098545,22
2.75,0.29,0.8809187006446766,0.005692920623011348,0.589738132103712,0.0474693702941428,23
2.9,0.26,0.8678497407737806,0.0038471123011517374,0.5897315325242529,0.046379379437263064,24
2.8,0.26,0.864866957464254,0.005162318344381244,0.5896933894836804,0.045052513096089965,25
2.9,0.27,0.873483862659503,0.003809074476688801,0.5896222480246669,0.04723973525906814,26
3.0,0.29,0.8848921107223724,0.005979416500159275,0.5891946717496201,0.04834474417341959,27
3.0,0.35,0.9096951308113954,0.005815096943548756,0.5890804463366397,0.050000820119665945,28
2.8,0.35,0.9048458149029941,0.005425034379105318,0.5888086210374923,0.045649967539661246,29
2.8,0.29,0.8810518584501853,0.005845489524592453,0.5885839444982077,0.048204776753828546,30
2.9,0.29,0.8834253431365507,0.004915417662387596,0.5885839444982077,0.048204776753828546,30
2.85,0.29,0.8815839655036857,0.00570228464569807,0.5885839444982077,0.048204776753828546,30
2.95,0.27,0.875768683003147,0.004339317686283981,0.5885717552618454,0.048757861654619775,33
2.95,0.26,0.8694849546005052,0.0036996795764916023,0.5885191554364078,0.04630624255643375,34
3.0,0.26,0.8706876230544506,0.0031458877693187892,0.5885191454967819,0.04716166268283491,35
3.0,0.28,0.8810483529826257,0.005481944692219211,0.5885073817512817,0.04789595029584341,36
2.75,0.26,0.8640104398508939,0.004401316679059154,0.5883621086258426,0.043918881893951114,37
2.8,0.3,0.8846066552111094,0.005297076143538668,0.5875920415608501,0.05028592440407404,38
2.85,0.28,0.87880900606036,0.0047795989894636815,0.5875623527114735,0.04894165363069494,39
3.0,0.27,0.8761650134647079,0.004361987154619056,0.5874465691080551,0.04794371328612926,40
2.75,0.35,0.9036359965770082,0.0058429448648299005,0.5874154465295056,0.04533019270031083,41
2.75,0.3,0.8834198839201136,0.005134085504975071,0.5864280762194156,0.048782546398828064,42
